"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"HouseIndividual",,"2","For Rent - Flat & Apartment","15000","2","Ground Floor",,"1","2BHK Flat on rent in Thaiba Lalitpur","Thaiba, Kare Road, Godawari-14, Lalitpur","27.623390197753906","85.34868621826172"
"HouseIndividual",,"4","For Rent - Flat & Apartment","100000","5","0/1/2",,"3","2.5 Storey Bungalow House Rent in Nakhipot, LTP","Nakhipot, Jambu Marg, Lalitpur-14, Lalitpur","27.655317306518555","85.31684875488281"
"Bunglow",,"3","For Sale - House","39000000","5","3","1","2","Brand New Bunglow House On Sale at Chapali","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"2","For Rent - Flat & Apartment","30000","3","Ground Floor",,"1","3BHK Flat on rent in Hattiban Lalitpur","Hattiban, Mahalaxmi-4, Lalitpur","27.650379180908203","85.33688354492188"
"House - Individual",,"1","For Sale - House","18500000","3","2","1","1","House For Sale at Tokha, Hattigauda Chowk","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"2","For Sale - House","42000000","5","3","1","2","Brand New Semi Bunglow For Sale at Ganesh Chowk","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"3","For Rent - Flat & Apartment","170000","4","2",,"1","Baluwatar. house. Rent","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"4","For Sale - House","38000000","7","4","3","3","Semi Bunglow On Sale at Chyasundole,Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"3","For Sale - House","39000000","6","3","2","2","Brand New Semi Bunglow For Sale At Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"2","For Sale - House","51000000","6","2","1","2","Land With House For Sale at Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","3800000",,,,,"Land for Sale at Chundevi / Katunje (Bhaktapur)","Chundevi,  Suryabinayak-6, Bhaktapur,  Bagmati Pradesh","0","0"
"House - Individual",,"4","For Rent - Office Space","1100000","9","2","0","0","office espes sale putalisadak","Location","27.71538543701172","85.31729888916016"
"Bunglow",,"2","For Sale - House","43000000","6","2","1","2","Brand New Semi Bunglow For Sale at Ganesh Chowk","Location","27.717199325561523","85.3239974975586"
